species,age,sex,mean.headbill,SD.headbill,n.headbill ,mean.billdepth,SD.billdepth,n.billdepth,mean.billlength,SD.billlength,n.billlength,mean.winglength,SD.winglength,n.winglength,mean.weight,SD.weight,n.weight,mean.tail,SD.tail,n.tail,mean.tarsus,SD.tarsus,n.tarsus,reference
GX,adult,unknown,,,,,,,,,,488,15,14,3257,278,13,,,,,,,"Okill and Wanless, 1986. Weights and wing lengths of juvenile Gannets Sula bassana from Noss and Ailsa Craig"
GX,non-adult,unknown,,,,,,,,,,468,21,59,3426,460,59,,,,,,,"Okill and Wanless, 1986. Weights and wing lengths of juvenile Gannets Sula bassana from Noss and Ailsa Craig"
GX,non-adult,unknown,,,,,,,,,,492,11,13,3138,172,13,,,,,,,"Okill and Wanless, 1986. Weights and wing lengths of juvenile Gannets Sula bassana from Noss and Ailsa Craig"
GX,adult,unknown,,,,,,,,,,493,10,27,3060,275,27,,,,,,,"Okill and Wanless, 1986. Weights and wing lengths of juvenile Gannets Sula bassana from Noss and Ailsa Craig"
GX,non-adult,unknown,,,,,,,,,,453,18,55,3610,256,55,,,,,,,"Okill and Wanless, 1986. Weights and wing lengths of juvenile Gannets Sula bassana from Noss and Ailsa Craig"
GX,adult,unknown,,,,,,,,,,493,9,24,3286,226,23,,,,,,,"Wanless, 1994. Body measurements and flight performance of adult and juvenile Gannets Morus bassanus"
GX,non-adult,unknown,,,,,,,,,,475,15,31,3542,281,31,,,,,,,"Wanless, 1994. Body measurements and flight performance of adult and juvenile Gannets Morus bassanus"
GX,adult,male,,,,,,20,98.5,3.75,20,496.9,8.7,20,2956,140.2,20,,,,73.1,1.5,20,"Bearhop, 2012. Sex-specific foraging behaviour in northern gannets Morus bassanus: incidence and implications"
GX,adult,female,,,,,,16,100.9,3.33,16,496.2,10.4,16,3209,211.5,16,,,,74.2,2.6,16,"Bearhop, 2012. Sex-specific foraging behaviour in northern gannets Morus bassanus: incidence and implications"
GX,adult,male,,,,35.4,1.2,11,97.3,4,11,492.4,7.5,11,2800,0.5,11,,,,,,,"Redman, 2001. Sexual differences in behaviour and morphology of Northern Gannets"
GX,adult,female,,,,35.8,5.9,7,97.2,3,7,494.1,7.6,7,3000,0.7,7,,,,,,,"Redman, 2001. Sexual differences in behaviour and morphology of Northern Gannets"
GX,adult,male,,,,33.8,1.8,73,97.9,2.9,70,492,13.6,14,3020,296,44,,,,,,,"Wanless, 1983. Seasonal variation in the numbers and condition of Gannets Sula bassana dying on Ailsa Craig, Scotland"
GX,adult,female,,,,33.7,1.6,97,98.9,2.7,95,495,10.1,27,3130,256,74,,,,,,,"Wanless, 1983. Seasonal variation in the numbers and condition of Gannets Sula bassana dying on Ailsa Craig, Scotland"
GX,non-adult,male,,,,34.3,2.9,4,98.3,2.1,4,498,16.3,2,,,,,,,,,,"Wanless, 1983. Seasonal variation in the numbers and condition of Gannets Sula bassana dying on Ailsa Craig, Scotland"
GX,non-adult,female,,,,34.2,1.9,7,99.3,3,8,505,,1,3120,210,7,,,,,,,"Wanless, 1983. Seasonal variation in the numbers and condition of Gannets Sula bassana dying on Ailsa Craig, Scotland"
GX,adult,male,,,,,,,99.3,2.31,24,491,11,23,,,,223,10.4,20,60.2,1.61,21,"Cramp, 1985. The Birds of the Western Palearctic. Vol. I. Oxford University Press, Oxford."
