"bbs_code","age2","sex","wing_mean","wing_sd","wing_cv","sample_size","total.n.per.group","scale.factor","metric"
"AC","adults","females",332.4,8.67755725996665,0.0261057679301043,5,72,0.0694444444444444,"winglength"
"AC","adults","unknown",327.567164179104,7.39210037113128,0.0225666708372805,67,72,0.930555555555556,"winglength"
"BZ","adults","females",403.058479532164,11.8364877552617,0.0293666759448915,171,515,0.332038834951456,"winglength"
"BZ","adults","males",379.502994011976,11.7856734816313,0.0310555480920905,167,515,0.324271844660194,"winglength"
"BZ","adults","unknown",389.322033898305,14.2387603336721,0.0365732198383393,177,515,0.34368932038835,"winglength"
"BZ","non-adults","females",400.710526315789,10.5110184008788,0.026230951548788,38,199,0.190954773869347,"winglength"
"BZ","non-adults","males",378.815384615385,10.5384597838292,0.0278195137046215,65,199,0.326633165829146,"winglength"
"BZ","non-adults","unknown",387.458333333333,12.6240511194571,0.0325816998458943,96,199,0.482412060301508,"winglength"
"CN","adults","females",268.8,5.44671154612273,0.020263063787659,25,2329,0.0107342206955775,"winglength"
"CN","adults","males",269.40625,6.30340089977036,0.0233973818342016,32,2329,0.0137398024903392,"winglength"
"CN","adults","unknown",270.492517605634,7.54392313200622,0.0278895815632317,2272,2329,0.975525976814083,"winglength"
"CN","non-adults","unknown",259.159819921216,8.13956978985682,0.0314075298876625,1777,1777,1,"winglength"
"EA","adults","females",635.333333333333,12.11060141639,0.0190618070562276,6,27,0.222222222222222,"winglength"
"EA","adults","males",597.142857142857,13.4843825008256,0.0225815017956409,21,27,0.777777777777778,"winglength"
"F.","adults","females",329.780487804878,8.49562297633891,0.0257614482678718,41,735,0.0557823129251701,"winglength"
"F.","adults","males",339.424657534247,10.4893038221207,0.030903187465284,73,735,0.0993197278911565,"winglength"
"F.","adults","unknown",331.458937198068,11.1311972879012,0.0335824322071291,621,735,0.844897959183673,"winglength"
"F.","non-adults","unknown",306,9.05538513813742,0.029592761889338,9,9,1,"winglength"
"GB","adults","females",478.72,10.8724422279449,0.0227114852689358,25,701,0.0356633380884451,"winglength"
"GB","adults","males",497.098039215686,15.212172628472,0.0306019566129721,51,701,0.072753209700428,"winglength"
"GB","adults","unknown",482.7824,18.9679388064202,0.0392887951309332,625,701,0.891583452211127,"winglength"
"GB","non-adults","females",465.6,11.6649298427078,0.025053543476606,35,588,0.0595238095238095,"winglength"
"GB","non-adults","males",495.823529411765,15.62723067856,0.0315177270774137,34,588,0.0578231292517007,"winglength"
"GB","non-adults","unknown",477.389210019268,16.7767178473603,0.0351426414658245,519,588,0.88265306122449,"winglength"
"GU","adults","unknown",202.630174291939,5.30332723406939,0.0261724457011454,1836,1836,1,"winglength"
"GU","non-adults","unknown",197.384615384615,4.55592035229,0.0230814359235269,13,13,1,"winglength"
"GX","adults","females",487.333333333333,3.77712412645741,0.00775059670271699,6,208,0.0288461538461538,"winglength"
"GX","adults","males",500,7.42232504616371,0.0148446500923274,12,208,0.0576923076923077,"winglength"
"GX","adults","unknown",496.431578947368,9.02102497910457,0.0181717387887223,190,208,0.913461538461538,"winglength"
"GX","non-adults","unknown",491.6875,10.9498490194334,0.0222699357202154,32,32,1,"winglength"
"HG","adults","females",408.427230046948,11.8688036595959,0.0290597756134711,213,2770,0.0768953068592058,"winglength"
"HG","adults","males",427.233082706767,12.7414860766784,0.0298232664847811,266,2770,0.096028880866426,"winglength"
"HG","adults","unknown",418.367961588826,17.8772721508304,0.0427309779719707,2291,2770,0.827075812274368,"winglength"
"HG","non-adults","females",400.291666666667,15.1488477664964,0.0378445244504958,48,3319,0.0144621874058451,"winglength"
"HG","non-adults","males",421.581081081081,14.9895002125979,0.0355554385271739,74,3319,0.0222958722506779,"winglength"
"HG","non-adults","unknown",410.197372536753,17.4396371603099,0.0425152337092246,3197,3319,0.963241940343477,"winglength"
"K.","adults","females",251.837438423645,9.34080662617177,0.037090619586348,609,1434,0.424686192468619,"winglength"
"K.","adults","males",244.015644555695,8.05588675020619,0.0330138125564629,799,1434,0.557182705718271,"winglength"
"K.","adults","unknown",247.615384615385,9.90788341908371,0.0400131980267438,26,1434,0.0181311018131102,"winglength"
"K.","non-adults","females",251.948126801153,10.0735827876881,0.0399827651651429,347,1005,0.345273631840796,"winglength"
"K.","non-adults","males",244.25,8.39125635883821,0.0343551949184778,312,1005,0.31044776119403,"winglength"
"K.","non-adults","unknown",246.852601156069,10.483594175547,0.0424690447921143,346,1005,0.344278606965174,"winglength"
"KI","adults","females",301.745454545455,7.3187182186252,0.0242546096664489,55,3436,0.0160069848661234,"winglength"
"KI","adults","males",309.322222222222,7.17960247057284,0.023210755499535,90,3436,0.0261932479627474,"winglength"
"KI","adults","unknown",309.260103312063,7.73161809770609,0.0250003735202287,3291,3436,0.957799767171129,"winglength"
"KI","non-adults","unknown",304.226804123711,11.3031201026523,0.0371535970842858,97,97,1,"winglength"
"KT","adults","females",497.75,13.3710775289695,0.0268630387322341,8,180,0.0444444444444444,"winglength"
"KT","adults","males",478.928571428571,8.63324776853804,0.018026169837365,14,180,0.0777777777777778,"winglength"
"KT","adults","unknown",487.348101265823,16.2684201195793,0.0333815194464166,158,180,0.877777777777778,"winglength"
"KT","non-adults","females",492.2,13.0076900332073,0.0264276514287023,5,110,0.0454545454545455,"winglength"
"KT","non-adults","males",472.6,10.0570784816569,0.0212803184123084,30,110,0.272727272727273,"winglength"
"KT","non-adults","unknown",484.173333333333,22.0542165689119,0.0455502503970587,75,110,0.681818181818182,"winglength"
"LB","adults","females",407.283582089552,11.0280653183658,0.0270771172797753,134,2588,0.0517774343122102,"winglength"
"LB","adults","males",426.839622641509,11.4846997269851,0.0269063580740506,212,2588,0.0819165378670788,"winglength"
"LB","adults","unknown",417.115967885816,14.4791214122886,0.0347124601478986,2242,2588,0.866306027820711,"winglength"
"LB","non-adults","females",402.818181818182,10.7034403984717,0.026571393451408,11,653,0.0168453292496172,"winglength"
"LB","non-adults","males",421.642857142857,9.89655490268199,0.0234714159982293,28,653,0.0428790199081164,"winglength"
"LB","non-adults","unknown",412.758957654723,16.5384679729462,0.0400681018939408,614,653,0.940275650842266,"winglength"
"MX","adults","females",241.142857142857,5.20988072251728,0.021604955602856,7,6500,0.00107692307692308,"winglength"
"MX","adults","males",241.117647058824,4.3284285968059,0.0179515213822152,17,6500,0.00261538461538462,"winglength"
"MX","adults","unknown",240.04223285979,4.74082245789417,0.019749951504006,6476,6500,0.996307692307692,"winglength"
"MX","non-adults","unknown",237.618725868726,5.19739778052735,0.0218728459279707,1036,1036,1,"winglength"
"NX","adults","unknown",422.375,8.78253828476735,0.0207932247049834,48,48,1,"winglength"
"OP","adults","females",518.333333333333,14.4337567297406,0.0278464760059305,3,5,0.6,"winglength"
"OP","adults","males",472,0,0,1,5,0.2,"winglength"
"OP","adults","unknown",481,0,0,1,5,0.2,"winglength"
"OP","non-adults","females",509,0,0,1,1,1,"winglength"
"TE","adults","unknown",305.205194805195,7.67267252438967,0.0251393903347122,1155,1155,1,"winglength"
"TE","non-adults","unknown",293.845601436266,9.75202632729953,0.0331875865408001,557,557,1,"winglength"
"TL","adults","females",161.397435897436,3.10809530263414,0.0192574019862946,39,2661,0.0146561443066516,"winglength"
"TL","adults","unknown",160.766781083143,3.56734076297302,0.0221895390262751,2622,2661,0.985343855693348,"winglength"
"TL","non-adults","unknown",161.2,2.78340949575384,0.0172668082863141,20,20,1,"winglength"
"TM","adults","females",121.80624465355,3.0836461603349,0.0253159940125043,1169,73536,0.0158969756309835,"winglength"
"TM","adults","males",121.320512820513,3.11314136762134,0.0256604699011375,624,73536,0.00848563968668407,"winglength"
"TM","adults","unknown",122.474520162246,2.75379899804688,0.0224846686020802,71743,73536,0.975617384682333,"winglength"
"TM","non-adults","unknown",121.553333333333,2.99839296296539,0.0246673034851537,75,75,1,"winglength"
"WE","non-adults","females",683,0,0,2,4,0.5,"winglength"
"WE","non-adults","males",661,41.0121933088198,0.0620456782281691,2,4,0.5,"winglength"
